,ID,Probability
0,1,0.06580557788853293
1,2,0.047127413990175136
2,3,0.040136867234381673
3,4,0.1223503957001746
4,5,0.10298094609844481
5,6,0.036843962373070326
6,7,0.05202641897881931
7,8,0.03636073786600742
8,9,0.031642114819302895
9,10,0.720770773048276
10,11,0.07844960900470233
11,12,0.05434733000983472
12,13,0.02836227067130392
13,14,0.08829599619680466
14,15,0.043001151833313656
15,16,0.09671465695636262
16,17,0.02913280862286164
17,18,0.07591336409928828
18,19,0.04327371382180869
19,20,0.06157235621734422
20,21,0.05735603267772562
21,22,0.037493734343209434
22,23,0.033705507748733335
23,24,0.05012111813104915
24,25,0.07725208574492037
25,26,0.049243867561284134
26,27,0.06388885270502069
27,28,0.030581576416225706
28,29,0.09054499678998423
29,30,0.04806409372529479
30,31,0.060517590171202985
31,32,0.04592908390944271
32,33,0.040743874509966964
33,34,0.04704706936129339
34,35,0.20084753696293436
35,36,0.05319886964513352
36,37,0.08861914254197868
37,38,0.04278333682981285
38,39,0.0720067711028927
39,40,0.06684448209299616
40,41,0.08341387293875353
41,42,0.16631673408296657
42,43,0.05800413288751393
43,44,0.04227680256907607
44,45,0.044864296512815885
45,46,0.02293119390036242
46,47,0.022687230441686027
47,48,0.045760722121087956
48,49,0.06298204526102016
49,50,0.04706325237974791
50,51,0.04456946002154783
51,52,0.016393600449876557
52,53,0.06704792182668413
53,54,0.062107139982841154
54,55,0.0771182775159522
55,56,0.09109332131269293
56,57,0.030868598281663568
57,58,0.14471820652276074
58,59,0.06283729594476398
59,60,0.12510899057238295
60,61,0.03615405630979589
61,62,0.05986212704700243
62,63,0.09102815863323387
63,64,0.037771132043470504
64,65,0.06456717241793354
65,66,0.024478865111141494
66,67,0.06650303382750913
67,68,0.08317118066534636
68,69,0.0404752122283726
69,70,0.5157378639077246
70,71,0.04744349613130324
71,72,0.09305996647000585
72,73,0.029267769009728467
73,74,0.13012382773770767
74,75,0.0613721662518969
75,76,0.041242967013612276
76,77,0.052217998482157024
77,78,0.07183340868008228
78,79,0.03596459657730263
79,80,0.07810784859871245
80,81,0.05527912346126797
81,82,0.05364188074562218
82,83,0.10594243791758512
83,84,0.020415833107919494
84,85,0.0587660319314279
85,86,0.05925177280813335
86,87,0.11898681281398814
